Group	Breeds	ID
DC	Gallus_gallus_domesticus	DY25
DC	Gallus_gallus_domesticus	DY26
DC	Gallus_gallus_domesticus	DY27
DC	Gallus_gallus_domesticus	DY28
DC	Gallus_gallus_domesticus	DY29
DC	Gallus_gallus_domesticus	DY30
DC	Gallus_gallus_domesticus	DY31
DC	Gallus_gallus_domesticus	DY32
DC	Gallus_gallus_domesticus	DY34
DC	Gallus_gallus_domesticus	DY37
DC	Gallus_gallus_domesticus	DY38
DC	Gallus_gallus_domesticus	DY39
DC	Gallus_gallus_domesticus	DY40
DC	Gallus_gallus_domesticus	DY41
DC	Gallus_gallus_domesticus	DY43
DC	Gallus_gallus_domesticus	DY45
DC	Gallus_gallus_domesticus	DY46
DC	Gallus_gallus_domesticus	DY47
DC	Gallus_gallus_domesticus	DY48
DC	Gallus_gallus_domesticus	DY49
DC	Gallus_gallus_domesticus	EM04
DC	Gallus_gallus_domesticus	EM11
DC	Gallus_gallus_domesticus	EMB01
DC	Gallus_gallus_domesticus	EMB02
DC	Gallus_gallus_domesticus	EMB04
DC	Gallus_gallus_domesticus	ERR2985567
DC	Gallus_gallus_domesticus	ERR2985568
DC	Gallus_gallus_domesticus	ERR2985569
DC	Gallus_gallus_domesticus	ERR2985570
DC	Gallus_gallus_domesticus	ERR2985571
DC	Gallus_gallus_domesticus	ERR2985572
DC	Gallus_gallus_domesticus	ERR2985573
DC	Gallus_gallus_domesticus	ERR2985574
DC	Gallus_gallus_domesticus	ERR2985575
DC	Gallus_gallus_domesticus	ERR2985576
DC	Gallus_gallus_domesticus	ERR2985577
DC	Gallus_gallus_domesticus	ERR2985578
DC	Gallus_gallus_domesticus	ERR2985579
DC	Gallus_gallus_domesticus	ERR2985580
DC	Gallus_gallus_domesticus	ERR2985581
DC	Gallus_gallus_domesticus	ERR2985582
DC	Gallus_gallus_domesticus	ERR2985583
DC	Gallus_gallus_domesticus	ERR2985584
DC	Gallus_gallus_domesticus	ERR2985585
DC	Gallus_gallus_domesticus	ERR2985586
DC	Gallus_gallus_domesticus	ERR2985587
DC	Gallus_gallus_domesticus	ERR2985588
DC	Gallus_gallus_domesticus	ERR2985589
DC	Gallus_gallus_domesticus	ERR2985590
DC	Gallus_gallus_domesticus	ERR2985592
DC	Gallus_gallus_domesticus	ERR2985593
DC	Gallus_gallus_domesticus	ERR2985594
DC	Gallus_gallus_domesticus	ERR2985595
DC	Gallus_gallus_domesticus	ERR2985596
DC	Gallus_gallus_domesticus	ERR2985597
DC	Gallus_gallus_domesticus	ERR2985598
DC	Gallus_gallus_domesticus	ERR2985600
DC	Gallus_gallus_domesticus	ERR2985602
DC	Gallus_gallus_domesticus	ERR2985603
DC	Gallus_gallus_domesticus	ERR2985604
DC	Gallus_gallus_domesticus	ERR2985605
DC	Gallus_gallus_domesticus	ERR2985606
DC	Gallus_gallus_domesticus	ERR2985607
DC	Gallus_gallus_domesticus	ERR2985608
DC	Gallus_gallus_domesticus	ERR2985609
DC	Gallus_gallus_domesticus	ERR2985610
DC	Gallus_gallus_domesticus	ERR2985611
DC	Gallus_gallus_domesticus	ERR2985612
DC	Gallus_gallus_domesticus	ERR2985613
DC	Gallus_gallus_domesticus	ERR2985614
DC	Gallus_gallus_domesticus	ERR2985615
DC	Gallus_gallus_domesticus	ERR2985616
DC	Gallus_gallus_domesticus	ERR2985617
DC	Gallus_gallus_domesticus	ERR2985619
DC	Gallus_gallus_domesticus	ERR2985620
DC	Gallus_gallus_domesticus	ERR2985621
DC	Gallus_gallus_domesticus	ERR2985622
DC	Gallus_gallus_domesticus	ERR2985623
DC	Gallus_gallus_domesticus	ERR2985624
DC	Gallus_gallus_domesticus	ERR2985625
DC	Gallus_gallus_domesticus	ERR2985626
DC	Gallus_gallus_domesticus	ERR2985627
DC	Gallus_gallus_domesticus	ERR2985628
DC	Gallus_gallus_domesticus	ERR2985629
DC	Gallus_gallus_domesticus	ERR2985630
DC	Gallus_gallus_domesticus	ERR2985631
DC	Gallus_gallus_domesticus	ERR2985632
DC	Gallus_gallus_domesticus	ERR2985633
DC	Gallus_gallus_domesticus	ERR2985634
DC	Gallus_gallus_domesticus	ERR2985635
DC	Gallus_gallus_domesticus	ERR2985636
DC	Gallus_gallus_domesticus	ERR2985637
DC	Gallus_gallus_domesticus	ERR2985638
DC	Gallus_gallus_domesticus	ERR2985639
DC	Gallus_gallus_domesticus	ERR2985640
DC	Gallus_gallus_domesticus	ERR2985641
DC	Gallus_gallus_domesticus	ERR2985642
DC	Gallus_gallus_domesticus	ERR2985643
DC	Gallus_gallus_domesticus	ERR2985644
DC	Gallus_gallus_domesticus	ERR2985645
DC	Gallus_gallus_domesticus	ERR2985646
DC	Gallus_gallus_domesticus	ERR2985647
DC	Gallus_gallus_domesticus	ERR2985648
DC	Gallus_gallus_domesticus	ERR2985649
DC	Gallus_gallus_domesticus	ERR2985650
DC	Gallus_gallus_domesticus	ERR2985651
DC	Gallus_gallus_domesticus	ERR2985652
DC	Gallus_gallus_domesticus	ERR2985653
DC	Gallus_gallus_domesticus	ERR2985655
DC	Gallus_gallus_domesticus	ERR2985656
DC	Gallus_gallus_domesticus	EtHr1
DC	Gallus_gallus_domesticus	EtHr2
DC	Gallus_gallus_domesticus	EtHr3
